"title_x","dgf_dataset_url","dgf_resource_url","nb_lines","nb_features","profile_url","automl_url","target_variable","task","dgf_resource_id","best_model","metric_type","metric_value","score","title_y","missing_cells_pct","nb_numerical","nb_categorical"
"Budget Primitif - 2017 - Angers Loire M�tropole","http://www.data.gouv.fr/fr/datasets/budget-primitif-2017-angers-loire-metropole-1/","https://paysdelaloire.opendatasoft.com/explore/dataset/budget-primitif-2017-angers-loire-metropole/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false",1936,13,"https://etalab-ia.github.io/open_ML/profilings/5bb5a8b8-6b71-4a9a-8db5-98540e8a51a7_pandas_profile.html","https://etalab-ia.github.io/open_ML/automodels/5bb5a8b8-6b71-4a9a-8db5-98540e8a51a7/automl_entite-financiere/README.html","Entit� financi�re","multiclass_classification","5bb5a8b8-6b71-4a9a-8db5-98540e8a51a7","Ensemble","logloss",0.696161194850594,2.35719536590675,"Budget Primitif - 2017 - Angers Loire M�tropole",0.5,4,9
"Budget Primitif - 2017 - Angers Loire M�tropole","http://www.data.gouv.fr/fr/datasets/budget-primitif-2017-angers-loire-metropole-1/","https://paysdelaloire.opendatasoft.com/explore/dataset/budget-primitif-2017-angers-loire-metropole/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false",1936,13,"https://etalab-ia.github.io/open_ML/profilings/5bb5a8b8-6b71-4a9a-8db5-98540e8a51a7_pandas_profile.html","https://etalab-ia.github.io/open_ML/automodels/5bb5a8b8-6b71-4a9a-8db5-98540e8a51a7/automl_mode-de-gestion/README.html","Mode de gestion","binary_classification","5bb5a8b8-6b71-4a9a-8db5-98540e8a51a7","4_Default_Xgboost","logloss",0.197438246696243,3.64144723864427,"Budget Primitif - 2017 - Angers Loire M�tropole",0.5,4,9
"Horaires des �coles �l�mentaires et primaires en Pays de la Loire","http://www.data.gouv.fr/fr/datasets/horaires-des-ecoles-elementaires-et-primaires-en-pays-de-la-loire/","https://paysdelaloire.opendatasoft.com/explore/dataset/234400034_organisation-du-temps-scolaire/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false",2834,35,"https://etalab-ia.github.io/open_ML/profilings/c27fb866-7347-418a-a216-09d3c5770bd5_pandas_profile.html","https://etalab-ia.github.io/open_ML/automodels/c27fb866-7347-418a-a216-09d3c5770bd5/automl_code_nature/README.html","CODE_NATURE","binary_classification","c27fb866-7347-418a-a216-09d3c5770bd5","Ensemble","logloss",0.680797393715604,2.05902063412616,"Horaires des �coles �l�mentaires et primaires en Pays de la Loire",9.7,3,30
"Horaires des �coles �l�mentaires et primaires en Pays de la Loire","http://www.data.gouv.fr/fr/datasets/horaires-des-ecoles-elementaires-et-primaires-en-pays-de-la-loire/","https://paysdelaloire.opendatasoft.com/explore/dataset/234400034_organisation-du-temps-scolaire/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false",2834,35,"https://etalab-ia.github.io/open_ML/profilings/c27fb866-7347-418a-a216-09d3c5770bd5_pandas_profile.html","https://etalab-ia.github.io/open_ML/automodels/c27fb866-7347-418a-a216-09d3c5770bd5/automl_multi_rythme/README.html","MULTI_RYTHME","binary_classification","c27fb866-7347-418a-a216-09d3c5770bd5","Ensemble","logloss",0.152802150784863,3.05558833242353,"Horaires des �coles �l�mentaires et primaires en Pays de la Loire",9.7,3,30
"Horaires des �coles �l�mentaires et primaires en Pays de la Loire","http://www.data.gouv.fr/fr/datasets/horaires-des-ecoles-elementaires-et-primaires-en-pays-de-la-loire/","https://paysdelaloire.opendatasoft.com/explore/dataset/234400034_organisation-du-temps-scolaire/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false",2834,35,"https://etalab-ia.github.io/open_ML/profilings/c27fb866-7347-418a-a216-09d3c5770bd5_pandas_profile.html","https://etalab-ia.github.io/open_ML/automodels/c27fb866-7347-418a-a216-09d3c5770bd5/automl_lundi_matin_debut/README.html","LUNDI_MATIN_DEBUT","multiclass_classification","c27fb866-7347-418a-a216-09d3c5770bd5","4_Default_Xgboost","logloss",0.00405649786825,3.53800052375089,"Horaires des �coles �l�mentaires et primaires en Pays de la Loire",9.7,3,30
"Horaires des �coles �l�mentaires et primaires en Pays de la Loire","http://www.data.gouv.fr/fr/datasets/horaires-des-ecoles-elementaires-et-primaires-en-pays-de-la-loire/","https://paysdelaloire.opendatasoft.com/explore/dataset/234400034_organisation-du-temps-scolaire/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false",2834,35,"https://etalab-ia.github.io/open_ML/profilings/c27fb866-7347-418a-a216-09d3c5770bd5_pandas_profile.html","https://etalab-ia.github.io/open_ML/automodels/c27fb866-7347-418a-a216-09d3c5770bd5/automl_lundi_matin_fin/README.html","LUNDI_MATIN_FIN","multiclass_classification","c27fb866-7347-418a-a216-09d3c5770bd5","4_Default_Xgboost","logloss",0.00402547247553,3.53811703312826,"Horaires des �coles �l�mentaires et primaires en Pays de la Loire",9.7,3,30
"Horaires des �coles �l�mentaires et primaires en Pays de la Loire","http://www.data.gouv.fr/fr/datasets/horaires-des-ecoles-elementaires-et-primaires-en-pays-de-la-loire/","https://paysdelaloire.opendatasoft.com/explore/dataset/234400034_organisation-du-temps-scolaire/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false",2834,35,"https://etalab-ia.github.io/open_ML/profilings/c27fb866-7347-418a-a216-09d3c5770bd5_pandas_profile.html","https://etalab-ia.github.io/open_ML/automodels/c27fb866-7347-418a-a216-09d3c5770bd5/automl_mardi_matin_debut/README.html","MARDI_MATIN_DEBUT","multiclass_classification","c27fb866-7347-418a-a216-09d3c5770bd5","4_Default_Xgboost","logloss",0.00405649786825,3.53800052375089,"Horaires des �coles �l�mentaires et primaires en Pays de la Loire",9.7,3,30
"Horaires des �coles �l�mentaires et primaires en Pays de la Loire","http://www.data.gouv.fr/fr/datasets/horaires-des-ecoles-elementaires-et-primaires-en-pays-de-la-loire/","https://paysdelaloire.opendatasoft.com/explore/dataset/234400034_organisation-du-temps-scolaire/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false",2834,35,"https://etalab-ia.github.io/open_ML/profilings/c27fb866-7347-418a-a216-09d3c5770bd5_pandas_profile.html","https://etalab-ia.github.io/open_ML/automodels/c27fb866-7347-418a-a216-09d3c5770bd5/automl_mardi_matin_fin/README.html","MARDI_MATIN_FIN","multiclass_classification","c27fb866-7347-418a-a216-09d3c5770bd5","4_Default_Xgboost","logloss",0.004548437401145,3.53615413762941,"Horaires des �coles �l�mentaires et primaires en Pays de la Loire",9.7,3,30
"Horaires des �coles �l�mentaires et primaires en Pays de la Loire","http://www.data.gouv.fr/fr/datasets/horaires-des-ecoles-elementaires-et-primaires-en-pays-de-la-loire/","https://paysdelaloire.opendatasoft.com/explore/dataset/234400034_organisation-du-temps-scolaire/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false",2834,35,"https://etalab-ia.github.io/open_ML/profilings/c27fb866-7347-418a-a216-09d3c5770bd5_pandas_profile.html","https://etalab-ia.github.io/open_ML/automodels/c27fb866-7347-418a-a216-09d3c5770bd5/automl_mardi_apres_midi_debut/README.html","MARDI_APRES_MIDI_DEBUT","multiclass_classification","c27fb866-7347-418a-a216-09d3c5770bd5","4_Default_Xgboost","logloss",0.044928999691333,3.39089638403916,"Horaires des �coles �l�mentaires et primaires en Pays de la Loire",9.7,3,30
"Horaires des �coles �l�mentaires et primaires en Pays de la Loire","http://www.data.gouv.fr/fr/datasets/horaires-des-ecoles-elementaires-et-primaires-en-pays-de-la-loire/","https://paysdelaloire.opendatasoft.com/explore/dataset/234400034_organisation-du-temps-scolaire/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false",2834,35,"https://etalab-ia.github.io/open_ML/profilings/c27fb866-7347-418a-a216-09d3c5770bd5_pandas_profile.html","https://etalab-ia.github.io/open_ML/automodels/c27fb866-7347-418a-a216-09d3c5770bd5/automl_mercredi_matin_debut/README.html","MERCREDI_MATIN_DEBUT","multiclass_classification","c27fb866-7347-418a-a216-09d3c5770bd5","4_Default_Xgboost","logloss",0.154561791948687,3.05066754073435,"Horaires des �coles �l�mentaires et primaires en Pays de la Loire",9.7,3,30
"Horaires des �coles �l�mentaires et primaires en Pays de la Loire","http://www.data.gouv.fr/fr/datasets/horaires-des-ecoles-elementaires-et-primaires-en-pays-de-la-loire/","https://paysdelaloire.opendatasoft.com/explore/dataset/234400034_organisation-du-temps-scolaire/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false",2834,35,"https://etalab-ia.github.io/open_ML/profilings/c27fb866-7347-418a-a216-09d3c5770bd5_pandas_profile.html","https://etalab-ia.github.io/open_ML/automodels/c27fb866-7347-418a-a216-09d3c5770bd5/automl_mercredi_matin_fin/README.html","MERCREDI_MATIN_FIN","multiclass_classification","c27fb866-7347-418a-a216-09d3c5770bd5","Ensemble","logloss",0.402603940286921,2.48626491839558,"Horaires des �coles �l�mentaires et primaires en Pays de la Loire",9.7,3,30
